timestamp,nom_fonction,prompt_tokens,completion_tokens,total_tokens
2026-08-13T15:31:29.133216,profile refinement,362,46,408
2026-08-13T15:34:41.703169,profile refinement,362,49,411
2026-08-13T15:35:02.887270,profile refinement,392,51,443
2026-08-13T15:35:28.174506,profile refinement,397,49,446
2026-08-14T12:37:04.946649,profile refinement,356,55,411
2026-08-14T12:37:05.964910,profile refinement,383,68,451
2026-08-14T12:37:31.357612,profile refinement,383,55,438
2026-08-14T12:37:43.952934,profile refinement,356,61,417
2026-08-14T13:07:09.921433,profile refinement,383,64,447
2026-08-14T13:07:10.781813,profile refinement,383,36,419
2026-08-14T14:28:32.892952,profile refinement,356,74,430
2026-08-14T14:29:17.485915,profile refinement,475,68,543
2026-08-14T14:29:49.053201,profile refinement,555,72,627
2026-08-14T14:30:07.787946,query generation,976,861,1837
2026-08-14T14:38:39.688795,profile refinement,356,58,414
2026-08-14T14:44:26.109773,profile refinement,356,64,420
2026-08-14T14:44:37.062953,profile refinement,455,48,503
2026-08-14T14:45:10.675169,profile refinement,511,69,580
2026-08-14T14:45:34.199390,query generation,925,451,1376
2026-08-18T13:21:44.675240,profile refinement,589,36,625
2026-08-18T13:22:18.877504,profile refinement,657,45,702
2026-08-18T13:22:33.845579,profile refinement,725,43,768
2026-08-18T13:22:54.802386,query generation,1129,469,1598
2026-08-18T14:31:06.213584,profile refinement,326,30,356
2026-08-18T14:31:18.876521,profile refinement,385,34,419
2026-08-18T14:31:28.249297,profile refinement,425,41,466
2026-08-18T14:31:41.995644,query generation,827,407,1234
2026-08-18T16:50:29.969278,profile refinement,325,33,358
2026-08-18T16:50:40.113171,profile refinement,388,29,417
2026-08-18T16:50:46.051601,profile refinement,420,30,450
2026-08-18T16:50:55.668583,query generation,803,372,1175
2026-08-18T17:36:11.429941,profile refinement,325,28,353
2026-08-18T17:36:22.856422,profile refinement,384,43,427
2026-08-18T17:36:48.325349,profile refinement,430,43,473
2026-08-18T17:37:03.673954,query generation,826,306,1132
